base_year,adm_dr_cd,adm_dr_nm,sigungu_nm,sido_nm,sido_nm_1,sigungu__1,sido_nm_12,sigungu__3,Included,Predicted,StdError
2018,1101053,사직동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00957734915,0.00454304796
2018,1101054,삼청동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01647993788,0.00366946827
2018,1101055,부암동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01472822459,0.00412842415
2018,1101056,평창동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01000503846,0.00484988166
2018,1101057,무악동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00929843538,0.00436323288
2018,1101058,교남동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00824001946,0.00458724993
2018,1101060,가회동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01231086988,0.00428956079
2018,1101061,종로1·2·3·4가동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00890371952,0.00434590583
2018,1101063,종로5·6가동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00623277308,0.0043720834
2018,1101064,이화동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00779039932,0.00454774431
2018,1101067,창신1동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00530912456,0.00456183797
2018,1101068,창신2동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00612930909,0.004582319
2018,1101069,창신3동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00610237093,0.00464509718
2018,1101070,숭인1동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00558254271,0.0046581145
2018,1101071,숭인2동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.00513376504,0.00464813958
2018,1101072,청운효자동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01398574807,0.00415371921
2018,1101073,혜화동,11010,11,서울특별시,종로구,서울,종로구,Yes,0.01052305096,0.00442703166
2018,1102052,소공동,11020,11,서울특별시,중구,서울,중구,Yes,0.00648645442,0.00453485238
2018,1102054,회현동,11020,11,서울특별시,중구,서울,중구,Yes,0.00462678132,0.00441772323
2018,1102055,명동,11020,11,서울특별시,중구,서울,중구,Yes,0.00579418616,0.00403315679
